uniprot,protein_family,subcellular_raw,pfam,go,keywords
Q2FUY2,Serine-aspartate repeat-containing protein (SDr) family,"SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000255|PROSITE-ProRule:PRU00477, ECO:0000269|PubMed:18800056, ECO:0000305|PubMed:11830639}; Peptidoglycan-anchor {ECO:0000255|PROSITE-ProRule:PRU00477, ECO:0000305|PubMed:11830639}. Note=Found in a ring-like distribution on the cell surface (PubMed:18800056). Colocalizes with SdrD (PubMed:18800056). Anchored to the cell wall by sortase A (Probable). {ECO:0000269|PubMed:18800056, ECO:0000305|PubMed:11830639}.",PF17961;PF00746;PF10425;PF04650;,GO:0007155,Cell wall;Peptidoglycan-anchor;Reference proteome;Secreted;Signal;Virulence
Q2FVI5,"Major facilitator superfamily, Bcr/CmlA family","SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651, ECO:0000256|RuleBase:RU365088}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651, ECO:0000256|RuleBase:RU365088}.",PF07690;,GO:0005886; GO:0022857; GO:0042910; GO:0055085; GO:1990961,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q2FVK2,Aerolysin family,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20472795}.,PF07968;,GO:0005576; GO:0051715; GO:0090729,Cytolysis;Hemolysis;Reference proteome;Secreted;Signal;Toxin;Virulence
Q2FWC4,Peptidase M20A family,,PF07687;PF01546;,GO:0005737; GO:0016805; GO:0046657; GO:0071713,Reference proteome
Q2FWM6,,,PF05931;,,Reference proteome
Q2FWN4,Chaperonin (HSP60) family,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00600}.,PF00118;,GO:0005524; GO:0006457; GO:0009408; GO:0016853; GO:0042026; GO:0051082; GO:0140662; GO:1990220,ATP-binding;Chaperone;Cytoplasm;Isomerase;Nucleotide-binding;Reference proteome
Q2FWP0,Aerolysin family,SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20472795}.,PF07968;,GO:0005576; GO:0051715,3D-structure;Reference proteome;Secreted;Signal
Q2FWV3,Staphylokinase family,,PF02821;,GO:0005576,Plasminogen activation;Reference proteome;Signal
Q2FXA5,"Protoporphyrinogen/coproporphyrinogen oxidase family, Coproporphyrinogen III oxidase subfamily",SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.,PF01593;,GO:0004729; GO:0005737; GO:0006783; GO:0016491,Cytoplasm;FAD;Flavoprotein;Heme biosynthesis;Oxidoreductase;Reference proteome
Q2FXB0,Aerolysin family,SUBCELLULAR LOCATION: Secreted {ECO:0000250}.,PF07968;,GO:0005576; GO:0051715; GO:0090729,3D-structure;Cytolysis;Hemolysis;Reference proteome;Secreted;Signal;Toxin;Virulence
Q2FXJ6,Peptidase S1C family,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004162}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004162}.,PF13180;PF13365;,GO:0004252; GO:0005886; GO:0006508,Hydrolase;Membrane;Protease;Reference proteome;Serine protease;Transmembrane;Transmembrane helix
Q2FXN2,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.,PF00324;,GO:0005886; GO:0006865; GO:0022857,Amino-acid transport;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q2FXX5,Staphylococcal/streptococcal toxin family,,PF02876;PF01123;,GO:0005576; GO:0090729,Disulfide bond;Enterotoxin;Reference proteome;Signal;Superantigen;Toxin
Q2FY60,6-phosphogluconate dehydrogenase family,,PF00393;PF03446;,GO:0004616; GO:0005829; GO:0009051; GO:0019521; GO:0050661,Gluconate utilization;NADP;Oxidoreductase;Pentose shunt;Reference proteome
Q2FYP2,,,PF00005;PF12848;,GO:0005524; GO:0016887,ATP-binding;Coiled coil;Nucleotide-binding;Reference proteome;Repeat
Q2FZ93,"Glycosyltransferase 4 family, MraY subfamily","SUBCELLULAR LOCATION: Cell membrane {ECO:0000255|HAMAP-Rule:MF_00038, ECO:0000269|PubMed:10564498}; Multi-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_00038, ECO:0000269|PubMed:10564498}.",PF00953;,GO:0005886; GO:0008360; GO:0008963; GO:0009252; GO:0016780; GO:0044038; GO:0046872; GO:0051301; GO:0071555,Cell cycle;Cell division;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Magnesium;Membrane;Metal-binding;Peptidoglycan synthesis;Reference proteome;Transferase;Transmembrane;Transmembrane helix
Q2FZ94,Transpeptidase family,SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004370}.,PF03793;PF03717;PF00905;,GO:0005886; GO:0008658; GO:0071555,3D-structure;Membrane;Reference proteome;Transmembrane;Transmembrane helix
Q2FZB1,Staphylococcal/streptococcal toxin family,,PF02876;,GO:0005576,Reference proteome
Q2FZB8,,SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.,PF12199;,GO:0001848; GO:0005615; GO:0141066,Reference proteome;Secreted;Signal;Virulence
Q2FZF0,IsdB family,"SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000250|UniProtKB:A6QG30}; Peptidoglycan-anchor {ECO:0000250|UniProtKB:A6QG30}. Note=Anchored to the cell wall by sortase A. {ECO:0000250|UniProtKB:A6QG30}.",PF00746;PF20861;PF05031;PF04650;,GO:0015232; GO:0046872,3D-structure;Cell wall;Heme;Iron;Metal-binding;Peptidoglycan-anchor;Reference proteome;Repeat;Secreted;Signal;Virulence
Q2G010,,SUBCELLULAR LOCATION: Secreted {ECO:0000256|ARBA:ARBA00004613}.,PF00565;,GO:0003676; GO:0004521; GO:0005576; GO:0006401; GO:0046872; GO:1990599,Calcium;Endonuclease;Hydrolase;Membrane;Metal-binding;Nuclease;Reference proteome;Secreted;Signal;Transmembrane;Transmembrane helix;Zymogen
Q2G015,Serine-aspartate repeat-containing protein (SDr) family,"SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000255|PROSITE-ProRule:PRU00477, ECO:0000269|PubMed:18800056, ECO:0000305|PubMed:11830639}; Peptidoglycan-anchor {ECO:0000255|PROSITE-ProRule:PRU00477, ECO:0000305|PubMed:11830639}. Note=Found in a ring-like distribution on the cell surface (PubMed:18800056). Does not localize with SasF (PubMed:18800056). Exchanging the ClfA and SasF signal peptides retargets the mature protein on the cell surface (PubMed:18800056). Anchored to the cell wall by sortase A (Probable). {ECO:0000269|PubMed:18800056, ECO:0000305|PubMed:11830639}.",PF17961;PF00746;PF10425;PF04650;,GO:0001968; GO:0007155; GO:0070051; GO:0098630,3D-structure;Cell wall;Peptidoglycan-anchor;Reference proteome;Secreted;Signal;Virulence
Q2G028,Enolase family,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00318}. Secreted {ECO:0000255|HAMAP-Rule:MF_00318}. Cell surface {ECO:0000255|HAMAP-Rule:MF_00318}. Note=Fractions of enolase are present in both the cytoplasm and on the cell surface. {ECO:0000255|HAMAP-Rule:MF_00318}.,PF00113;PF03952;,GO:0000015; GO:0000287; GO:0004634; GO:0005518; GO:0005576; GO:0006096; GO:0009986; GO:0043236,Cytoplasm;Glycolysis;Lyase;Magnesium;Metal-binding;Reference proteome;Secreted;Virulence
Q2G032,Glyceraldehyde-3-phosphate dehydrogenase family,,PF02800;PF00044;,GO:0004365; GO:0006006; GO:0006096; GO:0050661; GO:0051287,Glycolysis;NAD;Nucleotide-binding;Oxidoreductase;Reference proteome
Q2G034,,,PF16228;,,Membrane;Reference proteome;Transmembrane;Transmembrane helix
Q2G0A2,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.,PF07690;,GO:0005886; GO:0022857,3D-structure;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q2G155,"AB hydrolase superfamily, Lipase family",SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20472795}.,PF24708;PF04650;,GO:0004806; GO:0005576; GO:0016042,3D-structure;Hydrolase;Lipid degradation;Lipid metabolism;Reference proteome;Secreted;Signal;Zymogen
Q2G1E2,"Major facilitator superfamily, Organophosphate:Pi antiporter (OPA) (TC 2.A.1.4) family",SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.,PF07690;,GO:0005886; GO:0015760; GO:0035435; GO:0061513,Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q2G1K8,CpsC/CapA family,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.,PF02706;,GO:0000271; GO:0004713; GO:0005351; GO:0005886; GO:0015774,Capsule biogenesis/degradation;Cell membrane;Exopolysaccharide synthesis;Membrane;Reference proteome;Transmembrane;Transmembrane helix
Q2G1N0,Major facilitator superfamily,SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000255}.,PF07690;PF00083;,GO:0005886; GO:0022857,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q2G1X0,Aerolysin family,"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:20472795}. Note=Secreted as a monomer. After oligomerization and pore formation, the complex is translocated across the bilayer, probably via the Gly-rich domain of each strand. {ECO:0000250|UniProtKB:P09616}.",PF07968;,GO:0005576; GO:0051715; GO:0090729,3D-structure;Cytolysis;Hemolysis;Reference proteome;Secreted;Signal;Toxin;Virulence
Q2G282,Fur family,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.,PF01475;,GO:0000976; GO:0003700; GO:0005737; GO:0006351; GO:0008270; GO:0045892; GO:1900376,Cytoplasm;DNA-binding;Manganese;Metal-binding;Reference proteome;Repressor;Transcription;Transcription regulation;Zinc
Q2G2D8,Bacterial solute-binding protein 9 family,SUBCELLULAR LOCATION: Cell envelope {ECO:0000256|ARBA:ARBA00004196}.,PF01297;,GO:0007155; GO:0030001; GO:0030313; GO:0046872; GO:0071281,Metal-binding;Reference proteome;Signal;Transport
Q2G2G6,,,PF13273;,,Membrane;Reference proteome;Transmembrane;Transmembrane helix
Q2G2Q0,Type II topoisomerase GyrA/ParC subunit family,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01897}.,PF03989;PF00521;,GO:0003677; GO:0005524; GO:0005694; GO:0005737; GO:0006261; GO:0006265; GO:0009330; GO:0034335; GO:0046677,3D-structure;Antibiotic resistance;ATP-binding;Cytoplasm;DNA-binding;Isomerase;Nucleotide-binding;Reference proteome;Topoisomerase
Q2G2W1,"Major facilitator superfamily, EmrB family; Major facilitator superfamily, TCR/Tet family",SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}.,PF07690;,GO:0005886; GO:0016020; GO:0022857,Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport
Q2G2Y0,Staphylococcal/streptococcal toxin family,SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q2G1S8}.,PF09199;PF02876;,GO:0005576,Reference proteome;Secreted;Signal;Virulence
Q2YKV9,Cu-Zn superoxide dismutase family,,PF00080;,GO:0004784; GO:0005507,Copper;Metal-binding;Oxidoreductase;Reference proteome;Signal;Zinc
Q2YQH3,Pal lipoprotein family,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|HAMAP-Rule:MF_02204}; Lipid-anchor {ECO:0000256|HAMAP-Rule:MF_02204}.,PF00691;,GO:0009279; GO:0051301,Cell cycle;Cell division;Cell outer membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal
Q3XYW0,"ABC transporter superfamily, Energy-coupling factor EcfA family","SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004202, ECO:0000256|RuleBase:RU365104}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004202, ECO:0000256|RuleBase:RU365104}.",PF00005;,GO:0005524; GO:0016887; GO:0042626; GO:0043190,ATP-binding;Cell membrane;Hydrolase;Membrane;Nucleotide-binding;Reference proteome;Translocase;Transport
Q46409,Chlamydial porin (CP) (TC 1.B.2) family,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.,PF01308;,GO:0005198; GO:0006811; GO:0008360; GO:0009279; GO:0015288; GO:0046930,Cell outer membrane;Cell shape;Disulfide bond;Ion transport;Membrane;Porin;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
Q53682,,"SUBCELLULAR LOCATION: Secreted, cell wall {ECO:0000256|ARBA:ARBA00004168}; Peptidoglycan-anchor {ECO:0000256|ARBA:ARBA00004168}.",PF17961;PF02986;PF00746;PF10425;PF04650;,GO:0007155,Cell adhesion;Cell wall;Peptidoglycan-anchor;Repeat;Secreted;Signal;Virulence
Q57193,,,PF01376;,GO:0005576; GO:0046872,3D-structure;Calcium;Metal-binding;Signal
Q60153,,SUBCELLULAR LOCATION: Fimbrium {ECO:0000250}. Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.,PF07963;PF05946;,GO:0009289; GO:0015627; GO:0015628; GO:0016020; GO:0043230,3D-structure;Disulfide bond;Fimbrium;Membrane;Methylation;Reference proteome;Transmembrane;Transmembrane helix
Q6MX34,,,PF02602;PF00590;,GO:0004851; GO:0004852; GO:0005886; GO:0019354; GO:0032259,Methyltransferase;Porphyrin biosynthesis;Reference proteome;S-adenosyl-L-methionine;Transferase
Q6MX43,Dodecin family,,PF07311;,GO:0005886; GO:0009274; GO:0046872,3D-structure;Calcium;Metal-binding;Reference proteome
Q79FA9,Mycobacterial PPE family,,PF00823;PF12484;,GO:0052572,Reference proteome
Q79FE1,Mycobacterial PPE family,"SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:17076665, ECO:0000269|PubMed:22340629}. Cell surface {ECO:0000269|PubMed:17076665, ECO:0000269|PubMed:22340629}. Note=Secreted via the ESX-5 / type VII secretion system (T7SS). {ECO:0000269|PubMed:17076665, ECO:0000269|PubMed:22340629}.",PF00823;,GO:0005576; GO:0009986; GO:0052572,3D-structure;Reference proteome;Secreted;Virulence
Q79FE6,,,PF00934;,GO:0075071,Reference proteome
Q79FH3,Mycobacterial PPE family,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:29362230}; Multi-pass membrane protein {ECO:0000255}. Note=In vitro, the N- and C-terminal segments transfected into the human monocytic THP-1 cells are localized to the cytoplasm and nucleus of THP-1 cells, respectively. {ECO:0000269|PubMed:29362230}.",PF00823;PF18878;,GO:0005886; GO:0046872; GO:0052572; GO:0075139,Cell membrane;Iron;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix
Q79FZ9,,,PF11887;PF02470;,GO:0003779; GO:0005576; GO:0005886; GO:0007157; GO:0008017; GO:0009274; GO:0044406; GO:0044409; GO:0051701; GO:0085014; GO:0120010; GO:0120014,Membrane;Reference proteome;Transmembrane;Transmembrane helix
Q79GX8,,,PF03797;,GO:0019867,Reference proteome
Q83DT1,Skp family,,PF03938;,GO:0006457; GO:0050821; GO:0051082,Coiled coil;Reference proteome;Signal
Q83EK8,Coxiella porin P1 (CPP1) (TC 1.B.43) family,"SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000269|PubMed:12438349}; Multi-pass membrane protein {ECO:0000269|PubMed:12438349}. Note=Outer membrane location shown for Nine Mile phase I, but not that it actually spans the membrane.",PF13505;,GO:0006811; GO:0009279; GO:0015288; GO:0046930,Cell outer membrane;Direct protein sequencing;Ion transport;Membrane;Pharmaceutical;Porin;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
Q8Y498,,,PF01116;,GO:0004332; GO:0006096; GO:0008270; GO:0030388,Lyase;Metal-binding;Reference proteome;Zinc
Q8Y4I1,Glyceraldehyde-3-phosphate dehydrogenase family,,PF02800;PF00044;,GO:0004365; GO:0006006; GO:0050661; GO:0051287; GO:0141158,NAD;Nucleotide-binding;Oxidoreductase;Reference proteome
Q8Y863,2-oxoacid dehydrogenase family,,PF00198;PF00364;PF02817;,GO:0016746,Acyltransferase;Lipoyl;Reference proteome;Transferase
Q8YE76,Heat shock protein 70 family,,PF00012;,GO:0005524; GO:0005737; GO:0006457; GO:0016887; GO:0051082,ATP-binding;Chaperone;Nucleotide-binding;Phosphoprotein;Reference proteome;Stress response
Q8YG56,Alphaproteobacteria porin family,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.,PF02530;,GO:0006811; GO:0009279; GO:0015288; GO:0046930,Cell outer membrane;Ion transport;Membrane;Porin;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
Q97QS2,Enolase family,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00318, ECO:0000269|PubMed:11442827, ECO:0000269|PubMed:12435062}. Secreted {ECO:0000255|HAMAP-Rule:MF_00318, ECO:0000305|PubMed:11442827}. Cell surface {ECO:0000255|HAMAP-Rule:MF_00318, ECO:0000269|PubMed:11442827, ECO:0000269|PubMed:12435062}. Secreted, capsule {ECO:0000269|PubMed:11442827}. Secreted, cell wall {ECO:0000269|PubMed:11442827}. Note=Fractions of enolase are present in both the cytoplasm and on the cell surface; in encapsulated strains it is on the exterior of the capsule (ATCC 11733), in unencapsulated strains it is on the cell wall (R6x) (PubMed:11442827, PubMed:12435062). Extraneously added enolase binds to bacterial cells (PubMed:11442827). The export of enolase might depend on secA2 (By similarity). Once secreted, it remains attached to the cell surface, probably in complex with plasminogen (PubMed:11442827, PubMed:12435062). Detected by antisera of human patients infected with pneumococcal disease (PubMed:12435062). {ECO:0000250|UniProtKB:A0A0H3GN27, ECO:0000269|PubMed:11442827, ECO:0000269|PubMed:12435062}.",PF00113;PF03952;,GO:0000015; GO:0000287; GO:0004634; GO:0005576; GO:0006096; GO:0007155; GO:0009274; GO:0009986; GO:0042603,3D-structure;Cell adhesion;Cell wall;Cytoplasm;Direct protein sequencing;Glycolysis;Lyase;Magnesium;Metal-binding;Reference proteome;Secreted;Virulence
Q9AGE6,Chaperonin (HSP60) family,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00600}.,PF00118;,GO:0005524; GO:0006457; GO:0009408; GO:0016853; GO:0042026; GO:0051082; GO:0140662; GO:1990220,ATP-binding;Chaperone;Cytoplasm;Isomerase;Nucleotide-binding;Reference proteome
Q9I6J0,Bacterial solute-binding protein PotD/PotF family,SUBCELLULAR LOCATION: Periplasm {ECO:0000255|PIRNR:PIRNR019574}.,PF13416;,GO:0005615; GO:0015846; GO:0015847; GO:0019809; GO:0019810; GO:0030288,3D-structure;Periplasm;Reference proteome;Signal;Transport;Virulence
Q9KMA6,,,PF06296;,,3D-structure;Reference proteome;Toxin-antitoxin system
Q9KPR1,Nucleoside-specific channel-forming outer membrane porin (Tsx) (TC 1.B.10) family,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000256|ARBA:ARBA00004442}.,PF03502;,GO:0005337; GO:0009279,Cell outer membrane;Membrane;Reference proteome;Signal
Q9KRU4,Multi antimicrobial extrusion (MATE) (TC 2.A.66.1) family,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.,PF01554;,GO:0005886; GO:0006814; GO:0015297; GO:0016020; GO:0042910; GO:0046677,3D-structure;Antibiotic resistance;Antiport;Cell inner membrane;Cell membrane;Ion transport;Membrane;Reference proteome;Sodium;Sodium transport;Transmembrane;Transmembrane helix;Transport
Q9KSD1,"ABC transporter superfamily, Galactose/methyl galactoside importer (TC 3.A.1.2.3) family",SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01717}; Peripheral membrane protein {ECO:0000255|HAMAP-Rule:MF_01717}.,PF00005;,GO:0005354; GO:0005524; GO:0005886; GO:0015592; GO:0016887,ATP-binding;Cell inner membrane;Cell membrane;Membrane;Nucleotide-binding;Reference proteome;Repeat;Sugar transport;Translocase;Transport
Q9PHW6,FliD family,SUBCELLULAR LOCATION: Secreted. Bacterial flagellum.,PF07196;PF07195;PF02465;,GO:0005576; GO:0007155; GO:0009421; GO:0009424; GO:0071973,3D-structure;Bacterial flagellum;Coiled coil;Reference proteome;Secreted
Q9PPM0,FlgH family,SUBCELLULAR LOCATION: Cell outer membrane {ECO:0000250}; Lipid-anchor {ECO:0000250}. Bacterial flagellum basal body {ECO:0000250}.,PF02107;,GO:0003774; GO:0009279; GO:0009427; GO:0071973,Bacterial flagellum;Cell outer membrane;Lipoprotein;Membrane;Palmitate;Reference proteome;Signal
Q9S529,Bacterial solute-binding protein 9 family,SUBCELLULAR LOCATION: Periplasm {ECO:0000269|PubMed:19556290}.,PF01297;,GO:0007155; GO:0030001; GO:0042597; GO:0046872; GO:0071281,3D-structure;Iron;Metal-binding;Periplasm;Reference proteome;Signal;Transport
